0.001114	{:process 4, :type :invoke, :f :write, :value 630487328696128728806780074232317566218099702786788458485021472220841870863233031879637241508720024313619135438717692518669461484137498601166149808062928896134540219292500134237135349348062638681800262295928634188015931326104307523874366421859873568612533985638117873637834931490351524024600643322885788102241298471075757711065346036146373612679909474448566313126731680961321321488024002754066651739945389433572594106371779535830725453696965134844481870736419513079530359862269937014389953804123299524402841734665195280582116565617079474557913644492442986532313032079656368934393830048623854379796753390385034319526388695242124019360500224655837468459975317710967949261658153110155264797798987891719094131462697313805596696575879798403579838779372841420070757856799046241020259454718016003798589404220452679634225028829410478430063020509464906619511675622667665167310268679332283561025401297725767785754609840496721281300203791689356928922984556894047269768846001695788996374153870708694481081362933952701127724796556294314}
0.035163	0.036279	{:process 4, :type :ok, :f :write, :value 630487328696128728806780074232317566218099702786788458485021472220841870863233031879637241508720024313619135438717692518669461484137498601166149808062928896134540219292500134237135349348062638681800262295928634188015931326104307523874366421859873568612533985638117873637834931490351524024600643322885788102241298471075757711065346036146373612679909474448566313126731680961321321488024002754066651739945389433572594106371779535830725453696965134844481870736419513079530359862269937014389953804123299524402841734665195280582116565617079474557913644492442986532313032079656368934393830048623854379796753390385034319526388695242124019360500224655837468459975317710967949261658153110155264797798987891719094131462697313805596696575879798403579838779372841420070757856799046241020259454718016003798589404220452679634225028829410478430063020509464906619511675622667665167310268679332283561025401297725767785754609840496721281300203791689356928922984556894047269768846001695788996374153870708694481081362933952701127724796556294314}
0.042746	{:process 4, :type :invoke, :f :write, :value 778871892797868614378878137355432431811200916979328327230186651196270392503312374106941152747058798739100543770401215633827734523318329593892932254719013988340993726897306591019600534022988970364154084765868720093696084103159586187773481255376635466078383553191069337654104799555162912460709007160828548119085891004561553663571884638661660341674042398674221301784752139385642246507366901243432039364212976222072021811937373786634255444286615937010316165435218635390730693386308349177710253318869052131472304158277948183616424320553820252768505311321985747279445729074242212963207415189828962666563909331547077710441523332708676198123208905908942206659031099808630052853363379509385280481363347542849195625595723273413561815562846976750210704221564830911670874564331374564288356839041418495063699856225743589284189422281998559456289753321441882926175586531499327214566903013205944693266526450171530442743096702261589331987114599533720349931177445380690312063138702736841979813363533686084327399565369457530187452910731183812}
0.026709	0.069456	{:process 4, :type :ok, :f :write, :value 778871892797868614378878137355432431811200916979328327230186651196270392503312374106941152747058798739100543770401215633827734523318329593892932254719013988340993726897306591019600534022988970364154084765868720093696084103159586187773481255376635466078383553191069337654104799555162912460709007160828548119085891004561553663571884638661660341674042398674221301784752139385642246507366901243432039364212976222072021811937373786634255444286615937010316165435218635390730693386308349177710253318869052131472304158277948183616424320553820252768505311321985747279445729074242212963207415189828962666563909331547077710441523332708676198123208905908942206659031099808630052853363379509385280481363347542849195625595723273413561815562846976750210704221564830911670874564331374564288356839041418495063699856225743589284189422281998559456289753321441882926175586531499327214566903013205944693266526450171530442743096702261589331987114599533720349931177445380690312063138702736841979813363533686084327399565369457530187452910731183812}
0.077136	{:process 4, :type :invoke, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
0.049729	0.126867	{:process 4, :type :ok, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
0.132331	{:process 4, :type :invoke, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
0.031222	0.163555	{:process 4, :type :ok, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
0.166763	{:process 4, :type :invoke, :f :write, :value 364996341259476253718261132227365855609746883500082820155580516093555659238780090492610188139941498983927907928268621659495689750568171863585603685950019570467543553659129881140857968018286150707092905115222417325247297802172871194825567730764289128810028327658050519502798229331344348391366182445315505529474608245194222061227778528293140523649158773081123020894813327691956861841161495797776379731691008607981029368967836793688069369129820144000896592363951757784818822037447648329756243348218691593717653529573569385611632624795387272726683239169842006460059889526999689104332216738386501482556256134264619060636666236575940667292819490396579157770459144300140343485516194301089346270603939174412186825457577601250331826753127637419156816678903057331907549422164371152732634159884296940802248877003406681096106526212415959948768228016238058722545918403319185208019954759742118611473715743466479586071168579432790163857104963023640058015170449677953695201715299415218935971051846127878961790632385378097292378101988906075}
0.03123	0.197994	{:process 4, :type :ok, :f :write, :value 364996341259476253718261132227365855609746883500082820155580516093555659238780090492610188139941498983927907928268621659495689750568171863585603685950019570467543553659129881140857968018286150707092905115222417325247297802172871194825567730764289128810028327658050519502798229331344348391366182445315505529474608245194222061227778528293140523649158773081123020894813327691956861841161495797776379731691008607981029368967836793688069369129820144000896592363951757784818822037447648329756243348218691593717653529573569385611632624795387272726683239169842006460059889526999689104332216738386501482556256134264619060636666236575940667292819490396579157770459144300140343485516194301089346270603939174412186825457577601250331826753127637419156816678903057331907549422164371152732634159884296940802248877003406681096106526212415959948768228016238058722545918403319185208019954759742118611473715743466479586071168579432790163857104963023640058015170449677953695201715299415218935971051846127878961790632385378097292378101988906075}
0.204798	{:process 4, :type :invoke, :f :write, :value 026743707993981778179164113763185952452144652920769978319987416003468684261566752641484595336939495585902358945330490159682498357105806233240873834849709170106936628443077074550954147054376980764810119116763778282190549337523906247150826106244455429574237849463480483315939306960027560265333771711263756816425427473410173560833082357160002577216770717283468066214950272641384252255973449248161576795169317733170669923157183251120638860565073061074381399644778051030298815121441899121017604409833854635369715815939230921563766242627386577058763719901089656272657685252169157548441769626275550210956364401156212388443270745769976703143370191349305624898686503173699149170207357122503464034671132156285237963995157694019476690827765288007316021982314553112306072813615566280580831487728250069361824303921991995335037053151207581011325615834560083080517848718812264938633301329829893579540632870465458980013197397844729784183241916004037366317094466366996230433036539497129020487045834488723046611762596690649563058716700035696}
0.026163	0.230962	{:process 4, :type :ok, :f :write, :value 026743707993981778179164113763185952452144652920769978319987416003468684261566752641484595336939495585902358945330490159682498357105806233240873834849709170106936628443077074550954147054376980764810119116763778282190549337523906247150826106244455429574237849463480483315939306960027560265333771711263756816425427473410173560833082357160002577216770717283468066214950272641384252255973449248161576795169317733170669923157183251120638860565073061074381399644778051030298815121441899121017604409833854635369715815939230921563766242627386577058763719901089656272657685252169157548441769626275550210956364401156212388443270745769976703143370191349305624898686503173699149170207357122503464034671132156285237963995157694019476690827765288007316021982314553112306072813615566280580831487728250069361824303921991995335037053151207581011325615834560083080517848718812264938633301329829893579540632870465458980013197397844729784183241916004037366317094466366996230433036539497129020487045834488723046611762596690649563058716700035696}
0.241844	{:process 4, :type :invoke, :f :write, :value 406860648267007635205140173275336214498216038901423167274523356979549462286388440868708470707617571437778508372550442402402166015188175928975342406847087525328866875589376801063978678540275071750418467059376765742519838546631674611348295082576038133987562922305659471001279074007405351645005560719811159078489129876953453111302505612720688522601427762205455805499663621693076228916346184884623512894166783307119775605003666039238856625077981070532052421246380187851578468775721956410554184393298365331100985090853908546097329357810121411930146458204024978005886829962278382129169884491202702484502729779103049229661701171431083386455476772994052154461707935283029688485697294639076358261809314494232013753118337184110591644093516919304847670500011062337756029821971357234484588814149045867771068425140891461244971875573550679713439510856101698798455702880953226199277087168237274756257442786615552463391315134731676312782444921467927050786281348279649184508846658556534174228267132142714590175021886213767784507933106855885}
0.034497	0.276343	{:process 4, :type :ok, :f :write, :value 406860648267007635205140173275336214498216038901423167274523356979549462286388440868708470707617571437778508372550442402402166015188175928975342406847087525328866875589376801063978678540275071750418467059376765742519838546631674611348295082576038133987562922305659471001279074007405351645005560719811159078489129876953453111302505612720688522601427762205455805499663621693076228916346184884623512894166783307119775605003666039238856625077981070532052421246380187851578468775721956410554184393298365331100985090853908546097329357810121411930146458204024978005886829962278382129169884491202702484502729779103049229661701171431083386455476772994052154461707935283029688485697294639076358261809314494232013753118337184110591644093516919304847670500011062337756029821971357234484588814149045867771068425140891461244971875573550679713439510856101698798455702880953226199277087168237274756257442786615552463391315134731676312782444921467927050786281348279649184508846658556534174228267132142714590175021886213767784507933106855885}
0.2805	{:process 4, :type :invoke, :f :write, :value 389988895615868772706499623613941061940623102191462211396957274590784979589729887028450267904364554061912086174996953170970328983400713132951362178595784939039599782125512858086057845240363214313527378555474289964600848289842314043900448088294876052891987218623233499409228805502702092715807142682532456448110380711903585419777140508164175115388409959411380317567394701434065835922973224275934963364607326031723932457084897286534124179972046350815525125165931355982871275922923697211927631768256663780474687056999181844142988554844094554479070088385009299254859360935375574592632152274121806954947686334785948473893235535221837615250829445483884319882506691673110202348088387010918471050419730770126027087701992859965106091280312117047817918114302832453871822366262963856697029224669169451909746932410191003245833042999289273068201430562009782188399229366862605978926436305735585729677355737224347982634300078743810568231084418308581233260037520896621749300343113237753088732712596672622866198543419917702094443232417615534}
