{:process 0, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 2, :type :invoke, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 3, :type :invoke, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 4, :type :ok, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 0, :type :ok, :f :read, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 1, :type :ok, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 2, :type :ok, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 3, :type :ok, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 4, :type :invoke, :f :write, :value 836613938605337611291042431900803464979751484267587891236446428786293389539976946655970516358138777226371390184769557728476481378210050109119605772656713353400453658678781664361728319647909144510399479558994388120386207113866028965830651280114344984808406208096792067107318945463865605355356256454184048834572989641296934859616044648642101319276495210695778392856821251404551191734925792531836430767028493614907399861044329162260164914477867818917031663771017234745394092993914619905272696529915666288477988352442991471025148604352191099946393502641963477460895226347554183455840936306242451995839507915483067262012639886195690870764232550476779165245866446643911364731788658566090598255029313469132200367346945124060564617973086538787511125839457623096704234887957608732416463326757529952650566328112463221754349203210478554389110578192278824956570539504032174121233482266981530706766180699223547897235943228599167905986000457368083798142111040732430250595223242523539740974160335550520242689041594770789416661116181107686}
